"condition","temp","psych","InCS","NFC","InJu1","InJu2","gender","age","j1","j2","j3","j4","j5","j6","ch1","ch2","ch3","ch4","ch5","temp_psych"
"control","short","control","There is nothing wrong.",5,4,4,"Female",26,"not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_short"
"control","short","control","There is nothing wrong.",8,3,4,"Male",47,"wrong","wrong","not wrong","not wrong","not wrong","not wrong",FALSE,TRUE,FALSE,FALSE,FALSE,"control_short"
"control","short","control","It's wrong but I can't think of a reason.",2,1,1,"Male",57,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_short"
"control","short","control","It's wrong but I can't think of a reason.",0,3,4,"Male",40,"wrong","wrong","wrong","wrong","wrong","not wrong",FALSE,FALSE,FALSE,FALSE,TRUE,"control_short"
"control","short","control","It's wrong but I can't think of a reason.",4,1,1,"Female",30,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_short"
"control","short","control","It's wrong but I can't think of a reason.",3,7,7,"Male",35,"not wrong","not wrong","not wrong","wrong","wrong","not wrong",FALSE,FALSE,TRUE,FALSE,TRUE,"control_short"
"control","short","control","It's wrong but I can't think of a reason.",5,3,2,"Male",31,"wrong","not wrong","not wrong","not wrong","wrong","wrong",TRUE,FALSE,FALSE,TRUE,FALSE,"control_short"
"control","short","control","It's wrong but I can't think of a reason.",6,1,1,"Female",33,"wrong","not wrong","wrong","wrong","wrong","wrong",TRUE,TRUE,FALSE,FALSE,FALSE,"control_short"
"control","short","control","It's wrong and I can provide a valid reason.",8,2,2,"Female",41,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_short"
"control","short","control","It's wrong and I can provide a valid reason.",6,1,1,"Female",39,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_short"
"control","short","control","It's wrong and I can provide a valid reason.",4,2,2,"Female",46,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_short"
"control","short","control","It's wrong and I can provide a valid reason.",6,1,1,"Male",44,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_short"
"control","short","control","It's wrong and I can provide a valid reason.",7,4,3,"Male",43,"not wrong","wrong","wrong","wrong","wrong","wrong",TRUE,FALSE,FALSE,FALSE,FALSE,"control_short"
"control","short","control","It's wrong and I can provide a valid reason.",6,1,1,"Female",52,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_short"
"control","short","control","It's wrong and I can provide a valid reason.",5,1,1,"Male",37,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_short"
"control","short","control","It's wrong and I can provide a valid reason.",9,1,1,"Male",75,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_short"
"control","short","control","It's wrong and I can provide a valid reason.",5,1,2,"Female",35,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_short"
"control","short","control","It's wrong and I can provide a valid reason.",7,1,1,"Female",46,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_short"
"control","short","control","It's wrong and I can provide a valid reason.",5,1,1,"Male",41,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_short"
"control","short","control","It's wrong and I can provide a valid reason.",4,1,2,"Female",31,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_short"
"control","short","control","It's wrong and I can provide a valid reason.",10,1,1,"Female",65,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_short"
"control","short","control","It's wrong and I can provide a valid reason.",3,3,3,"Female",64,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_short"
"control","short","control","It's wrong and I can provide a valid reason.",3,2,2,"Female",28,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_short"
"control","short","control","It's wrong and I can provide a valid reason.",8,1,1,"Male",26,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_short"
"control","short","control","It's wrong and I can provide a valid reason.",7,3,3,"Female",33,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_short"
"long","short","long","It's wrong and I can provide a valid reason.",209,2,1,"Female",44,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_long"
"long","short","long","It's wrong but I can't think of a reason.",180,5,6,"Male",30,"not wrong","wrong","wrong","not wrong","wrong","not wrong",TRUE,FALSE,TRUE,TRUE,TRUE,"control_long"
"long","short","long","It's wrong and I can provide a valid reason.",175,3,2,"Female",33,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_long"
"long","short","long","It's wrong and I can provide a valid reason.",NA,1,1,"Female",40,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_long"
"long","short","long","It's wrong and I can provide a valid reason.",143,2,2,"Female",39,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_long"
"long","short","long","There is nothing wrong.",145,4,4,"Male",30,"not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_long"
"long","short","long","It's wrong and I can provide a valid reason.",NA,1,2,"Female",30,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_long"
"long","short","long","It's wrong and I can provide a valid reason.",175,3,2,"Male",61,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_long"
