"condition","temp","psych","InCS","NFC","InJu1","InJu2","gender","age","temp_psych"
"long","long","long","There is nothing wrong.",183,4,4,"Male",70,"long_long"
"long","long","long","There is nothing wrong.",118,7,7,"Female",24,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",168,1,1,"Female",27,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",212,1,1,"Male",37,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",196,1,1,"Male",34,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",171,1,1,"Female",57,"long_long"
"long","long","long","It's wrong but I can't think of a reason.",NA,5,2,"Female",33,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",142,2,3,"Male",29,"long_long"
"long","long","long","There is nothing wrong.",NA,7,7,"Male",26,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",189,1,1,"Female",51,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",NA,3,2,"Male",35,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",217,1,1,"Female",38,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",160,1,1,"Male",59,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",208,1,1,"Female",38,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",206,1,1,"Male",68,"long_long"
"long","long","long","There is nothing wrong.",NA,2,4,"Female",50,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",195,1,1,"Female",28,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",169,1,1,"Female",33,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",197,3,2,"Male",47,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",179,1,1,"Female",70,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",160,2,2,"Male",42,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",163,3,3,"Male",40,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",110,1,2,"Female",33,"long_long"
"long","long","long","There is nothing wrong.",166,5,6,"Male",34,"long_long"
"long","long","long","It's wrong but I can't think of a reason.",NA,1,1,"Female",29,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",152,1,1,"Male",60,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",NA,1,1,"Male",56,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",NA,1,1,"Male",30,"long_long"
"short","short","long","It's wrong and I can provide a valid reason.",141,1,1,"Male",30,"short_long"
"short","short","long","It's wrong and I can provide a valid reason.",187,1,1,"Female",39,"short_long"
"short","short","long","There is nothing wrong.",167,5,6,"Male",32,"short_long"
"short","short","long","It's wrong and I can provide a valid reason.",210,1,1,"Male",64,"short_long"
"short","short","long","It's wrong and I can provide a valid reason.",130,1,1,"Female",50,"short_long"
"short","short","long","It's wrong and I can provide a valid reason.",NA,1,1,"Female",34,"short_long"
